"scientific_name","category","population_trend"
"Quercus insignis","EN","Unknown"
"Quercus affinis","LC","Stable"
"Quercus mexicana","LC","Stable"
"Quercus castanea","LC","Decreasing"
"Quercus crassifolia","LC","Unknown"
"Quercus rugosa","LC","Decreasing"
"Quercus laurina","LC","Stable"
"Quercus skinneri","NT","Decreasing"
"Quercus acatenangensis","LC","Stable"
"Quercus convallata","LC","Stable"
"Quercus potosina","LC","Stable"
"Quercus acutifolia","VU","Unknown"
"Quercus deserticola","LC","Stable"
"Quercus obtusata","LC","Stable"
"Quercus scytophylla","LC","Stable"
"Quercus crassipes","LC","Stable"
"Quercus confertifolia","LC","Stable"
"Quercus laeta","LC","Stable"
"Quercus glaucoides","LC","Stable"
"Quercus resinosa","LC","Stable"
"Quercus magnoliifolia","LC","Stable"
"Quercus planipocula","LC","Stable"
"Quercus tuberculata","LC","Stable"
"Quercus sartorii","NT","Stable"
"Quercus lancifolia","LC","Stable"
"Quercus elliptica","LC","Stable"
"Quercus depressa","LC","Unknown"
"Quercus polymorpha","LC","Unknown"
"Quercus corrugata","LC","Stable"
"Quercus chihuahuensis","LC","Stable"
"Quercus tuitensis","VU","Unknown"
"Quercus germana","LC","Stable"
"Quercus pungens","LC","Stable"
"Quercus liebmannii","LC","Unknown"
"Quercus greggii","LC","Stable"
"Quercus eduardi","LC","Stable"
"Quercus oleoides","NT","Decreasing"
"Quercus aristata","LC","Unknown"
"Quercus conzattii","LC","Stable"
"Quercus sideroxyla","LC","Stable"
"Quercus microphylla","LC","Stable"
"Quercus canbyi","LC","Stable"
"Quercus hintoniorum","VU","Unknown"
"Quercus grisea","LC","Decreasing"
"Quercus vicentensis","VU","Unknown"
"Quercus glabrescens","LC","Stable"
"Quercus durifolia","NT","Stable"
"Quercus peduncularis","LC","Stable"
"Quercus viminea","LC","Unknown"
"Quercus brandegeei","EN","Decreasing"
"Quercus fulva","LC","Stable"
"Quercus pringlei","LC","Stable"
"Quercus laceyi","LC","Stable"
"Quercus uxoris","LC","Unknown"
"Quercus diversifolia","EN","Decreasing"
"Quercus jonesii","LC","Stable"
"Quercus glaucescens","LC","Unknown"
"Quercus coffeicolor","DD","Unknown"
"Quercus sapotifolia","LC","Stable"
"Quercus muehlenbergii","LC","Stable"
"Quercus frutex","LC","Stable"
"Quercus subspathulata","LC","Unknown"
"Quercus striatula","LC","Stable"
"Quercus sebifera","LC","Stable"
"Quercus agrifolia","LC","Stable"
"Quercus urbani","LC","Stable"
"Quercus arizonica","LC","Stable"
"Quercus hypoleucoides","LC","Stable"
"Quercus grahamii","DD","Unknown"
"Quercus iltisii","NT","Unknown"
"Quercus benthamii","NT","Unknown"
"Quercus salicifolia","LC","Decreasing"
"Quercus martinezii","LC","Stable"
"Quercus intricata","LC","Stable"
"Quercus albocincta","LC","Stable"
"Quercus crispifolia","NT","Unknown"
"Quercus repanda","LC","Stable"
"Quercus emoryi","LC","Stable"
"Quercus gravesii","LC","Unknown"
"Quercus oblongifolia","LC","Stable"
"Quercus radiata","EN","Unknown"
"Quercus miquihuanensis","EN","Unknown"
"Quercus cornelius-mulleri","LC","Stable"
"Quercus rubramenta","VU","Unknown"
"Quercus rysophylla","NT","Unknown"
"Quercus vaseyana","LC","Unknown"
"Quercus macdougallii","EN","Unknown"
"Quercus toumeyi","DD","Unknown"
"Quercus xalapensis","LC","Stable"
"Quercus xylina","NT","Unknown"
"Quercus chrysolepis","LC","Stable"
"Quercus gambelii","LC","Stable"
"Quercus laurifolia","LC","Stable"
"Quercus fusiformis","LC","Decreasing"
"Quercus invaginata","LC","Stable"
"Quercus tinkhamii","DD","Unknown"
"Quercus praeco","LC","Unknown"
"Quercus hypoxantha","LC","Stable"
"Quercus depressipes","LC","Unknown"
"Quercus pinnativenulosa","NT","Unknown"
"Quercus mohriana","LC","Stable"
"Quercus saltillensis","NT","Unknown"
"Quercus porphyrogenita","DD","Unknown"
"Quercus peninsularis","NT","Unknown"
"Quercus segoviensis","LC","Stable"
"Quercus turbinella","LC","Stable"
"Quercus nixoniana","EN","Unknown"
"Quercus acherdophylla","DD","Unknown"
"Quercus calophylla","LC","Stable"
"Quercus barrancana","DD","Unknown"
"Quercus meavei","VU","Unknown"
"Quercus cortesii","NT","Unknown"
"Quercus rekonis","DD","Unknown"
"Quercus sororia","LC","Unknown"
"Quercus hintonii","EN","Decreasing"
"Quercus crispipilis","NT","Unknown"
"Quercus ariifolia","NT","Decreasing"
"Quercus mcvaughii","NT","Unknown"
"Quercus mulleri","CR","Unknown"
"Quercus engelmannii","EN","Decreasing"
"Quercus tarahumara","LC","Stable"
"Quercus devia","EN","Unknown"
"Quercus douglasii","LC","Stable"
"Quercus ghiesbreghtii","DD","Unknown"
"Quercus paxtalensis","DD","Unknown"
"Quercus tomentella","EN","Decreasing"
"Quercus coahuilensis","DD","Unknown"
"Quercus sinuata","LC","Unknown"
"Quercus perpallida","DD","Unknown"
"Quercus purulhana","NT","Unknown"
"Quercus opaca","DD","Unknown"
"Quercus virginiana","LC","Unknown"
"Quercus hirtifolia","EN","Unknown"
"Quercus galeanensis","EN","Stable"
"Quercus cedrosensis","VU","Decreasing"
"Quercus furfuracea","VU","Unknown"
"Quercus palmeri","NT","Unknown"
"Quercus cualensis","EN","Unknown"
"Quercus dumosa","EN","Decreasing"
"Quercus flocculenta","EN","Unknown"
"Quercus undata","DD","Unknown"
"Quercus toxicodendrifolia","DD","Unknown"
"Quercus serrata","LC","Unknown"
"Quercus delgadoana","EN","Unknown"
"Quercus wislizeni","LC","Decreasing"
"Quercus berberidifolia","LC","Stable"
"Quercus ajoensis","VU","Unknown"
"Quercus kelloggii","LC","Stable"
"Quercus suber","LC","Decreasing"
"Quercus supranitida","DD","Unknown"
"Quercus geminata","LC","Increasing"
"Quercus alpescens","DD","Unknown"
"Quercus deliquescens","DD","Unknown"
"Quercus aerea","DD","Unknown"
"Quercus carmenensis","EN","Unknown"
"Quercus ellipsoidalis","LC","Stable"
"Quercus cerris","LC","Unknown"
"Quercus robur","LC","Decreasing"
"Quercus breedloveana","DD","Unknown"
"Quercus montana","LC","Stable"
"Quercus verde","DD","Unknown"
"Quercus runcinatifolia","EN","Decreasing"
"Quercus buckleyi","LC","Stable"
"Quercus laevis","LC","Stable"
